"RoomID";"BuildingID";"RoomType";"Capacity";"Equipment";"Disabled Access";"BasicDirections"
"CCLT1";"CW-C";"Lecture Theatre";"123";"Microphone, DVD player, Data projector, VGA connection, Computer, Infra red hearing system, Active Panel, Blu Ray, Document Camera, Lecture Capture, HDMI Connection, Hearing Assistance Technology";"Yes";"	Enter the Cornwallis building via the doors to CW-E Carpark. Turn right to the room."
"CEPC1";"CW-E";"Computer Room";"30";"Data projector, VGA connection, Computer, Infra red hearing system, Lecture Capture, HDMI Connection, Hearing Assistance Technology";"Yes";"CW-E entrance is located near the Darwin Road bus stop. Entering by the main door, turn right. The room is on the ground floor."
"CEPC2";"CW-E";"Computer Room";"18";"Data projector, VGA connection, Computer, Infra red hearing system, Lecture Capture, HDMI Connection, Hearing Assistance Technology";"Yes";"CW-E entrance is located near the Darwin Road bus stop. Entering by the main door, turn right. The room is on the ground floor."
"CESR1";"CW-E";"Seminar Room";"50";"DVD player, Data projector, VGA connection, Computer, Infra red hearing system, Blu Ray, Lecture Capture, HDMI Connection, Hearing Assistance Technology";"Yes";"CW-E entrance is located near the Darwin Road bus stop. Entering by the main door, turn left. The room is on the ground floor at the end of the corridor."
"CESR2";"CW-E";"Seminar Room";"50";"Video Conferencing on request, DVD player, Data projector, VGA connection, Computer, Infra red hearing system, Blu Ray, Lecture Capture, Telephone, HDMI Connection, Hearing Loop, Hearing Assistance Technology";"Yes";"CW-E entrance is located near the Darwin Road bus stop. Entering by the main door, turn right. The room is on the ground floor at the end of the corridor."
"CESR3";"CW-E";"Seminar Room";"8";"VGA connection, Computer, Infra red hearing system, Lecture Capture, HDMI Connection, Hearing Assistance Technology";"Yes";"CW-E entrance is located near the Darwin Road bus stop. Entering by the main door, turn left. The room is on the ground floor on your left immediately after the double doors."
"CESR4";"CW-E";"Seminar Room";"8";"	VGA connection, Computer, Infra red hearing system, Lecture Capture, HDMI Connection, Hearing Assistance Technology";"Yes";"CW-E entrance is located near the Darwin Road bus stop. Entering by the main door, turn left. The room is on the ground floor on your right immediately after the double doors"
"CNWsr1";"CW-NW";"Seminar Room";"18";"DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"Yes";"Turn right on entering building from the doors facing Colyer-Fergusson. The room is at the end of the corridor on the left."
"CNWsr10";"CW-NW";"Seminar Room";"18";"DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"No";"On entering CW-NW go up the stairs to the first floor and turn right. Turn left and up the stairs to the second floor. Take the door on the right at the top of the stairs, the room is at the end of the corridor."
"CNWsr11";"CW-NW";"Seminar Room";"16";"DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"No";"On entering CW-NW go up the stairs to the first floor and turn right. Turn left and up the stairs to the second floor. Take the door on the left at the top of the stairs, the room directly ahead."
"CNWsr12";"CW-NW";"Seminar Room";"18";"	DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"No";"On entering CW-NW go up the stairs to the first floor and turn right. Turn left and up the stairs to the second floor. Take the door on the left at the top of the stairs, the room is at the end of the corridor."
"CNWsr2";"CW-NW";"Seminar Room";"24";"DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"Yes";"On entering CW-NW turn left into the lobby, the room is the first on your left."
"CNWsr5";"CW-NW";"Seminar Room";"30";"DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"Yes";"On entering CW-NW turn left into the lobby, the room is the first down the courtyard corridor."
"CNWsr6";"CW-NW";"Seminar Room";"30";"DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"Yes";"On entering CW-NW turn left into the lobby, the room is the second down the courtyard corridor."
"CNWsr7";"CW-NW";"Seminar Room";"30";"DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"Yes";"On entering CW-NW turn left into the lobby, the room is the third down the courtyard corridor."
"CNWsr8";"CW-NW";"Seminar Room";"30";"	DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"Yes";"On entering CW-NW turn left into the lobby, the room is the forth down the courtyard corridor."
"CNWsr9";"CW-NW";"Seminar Room";"30";"DVD player, Data projector, VGA connection, Computer, Blu Ray, Lecture Capture, HDMI Connection";"Yes";"On entering CW-NW turn left into the lobby, the room is the last down the courtyard corridor."
