RoomID,StaffID
S109A,oa354
M3-10,atna3
Unassigned,aa2099
S116,ata
M3-10,la309
S115A,ea483
S109A,ta541
S111,ba284
G48,la269
G43,aa2167
S115A,ra545
S109B,dab49
SW110,djb
S128B,bb427
SW10,mjb211
S109B,rb724
S122A,tdb
SW16,lb514
S115A,lb732
G44,hb5
S109A,crb34
SW104,jb886
G01A,cb244
S104,jec
S131,dwc8
SW104,tmac3
SW106,jc2005
S129,oc
SW04,dfc
SW12,sjc205
SW104,cgc9
M3-30,svh22
Unassigned,lmd36
SW12,sgd6
G47,sv39
SW08,yd46
SW12,nd315
S128B,td207
M3-10,cd549
M3-10,ad727
Unassigned,hf216
G43,jf330
S101,saf
S121,vf200
S107,aaf
M3-21,ef313
G01A,opg
G48,hnlg
The Shed,kg249
SW07,rg399
Unassigned,cg500
S128C,mg483
G43,aoh3
G25,mh453
SW104,seh53
G43,kh468
SW12,lh558
SW104,jrh54
SW104,jrh53
M3-33,yh
M3-10,amh58
S120,jch27
SW12,ejh66
Unassigned,trh
G43,mn361
G46,jrh38
S115A,joh6
M3-04a,rji4
S109B,ti69
S115A,jdj9
M3-16,msj
SW08,ifj4
M3-30,jgj
S102,cgj
S117,rej
S109A,ksj5
SW12,wrj2
Unassigned,tj202
M3-32,akj22
SW05,rok
SW105,smk
S115A,sk755
Unassigned,tk243
M3-35,mk451
SW12,hk324
Unassigned,kik
S130,srk21
S128,pgk
SW108,amk
The Shed,dk246
G48,lk339
SW13,jl703
M3-10,gral2
S106,rdl
M3-34,cl339
S105,sl626
SW11,vl200
M3-04a,yl339
Unassigned,pfl
S122A,dl2
SW104,fl207
SW12,pbl2
G02,rl348
S109B,yl360
SW104,sjm88
SW104,mim
SW104,mm983
SW14,sm951
G02,jjm20
M3-04A,acm55
M3-10,xm39
M3-37,mm53
Unassigned,gm482
M3-04A,im572
S115A,bgm4
M3-21,sm2163
S109A,mpsm
G43,hln7
S112,jrcn
S118,aoo
SW06,dao7
M3-29,febo
M3-10,so358
SW09,sao
SW12,gp208
M3-04a,kp356
SW12,mp612
SW15,cd472
S129A,tp343
M3-10,ldp7
M3-38,hp300
G43,tp346
S109A,jjp31
M3-31,pr254
SW104,cer28
Unassigned,ejcr
G01B,sr309
SW107,pjr
Unassigned,rnsr
SW104,ps564
Unassigned,ts495
SW08,js959
SW104,jks31
M3-36,ds710
S115A,fs338
S116,jt307
SW109,sjt
SW12,tt340
S108,gewt
Unassigned,dat
S103,iau
G01B,kv
M3-15,fzw
SW08,dw341
Unassigned,phw
G43,aw678
S122,mcw
Unassigned,secw2
G25,ccw5
SW12,daw29
M3-04A,lw476
SW12,wz84
Room,Login
S109A,oa354
Unassigned,aa2099
S116,ata
S115A,ea483
S109A,ta541
S111,ba284
G48,la269
G43,aa2167
S115A,ra545
S109B,dab49
SW110,djb
S128B,bb427
SW10,mjb211
S109B,rb724
S122A,tdb
SW16,lb514
S115A,lb732
G44,hb5
S109A,crb34
SW104,jb886
G01A,cb244
S104,jec
S131,dwc8
SW104,tmac3
SW106,jc2005
S129,oc
SW04,dfc
SW12,sjc205
SW104,cgc9
Unassigned,lmd36
SW12,sgd6
G47,sv39
SW08,yd46
SW12,nd315
S128B,td207
Unassigned,hf216
G43,jf330
S101,saf
S121,vf200
S107,aaf
G01A,opg
G48,hnlg
The Shed,kg249
SW07,rg399
Unassigned,cg500
S128C,mg483
G43,aoh3
G25,mh453
SW104,seh53
G43,kh468
SW12,lh558
SW104,jrh54
SW104,jrh53
S120,jch27
SW12,ejh66
Unassigned,trh
G43,mn361
G46,jrh38
S115A,joh6
S109B,ti69
S115A,jdj9
SW08,ifj4
S102,cgj
S117,rej
S109A,ksj5
SW12,wrj2
Unassigned,tj202
SW05,rok
SW105,smk
S115A,sk755
Unassigned,tk243
SW12,hk324
Unassigned,kik
S130,srk21
S128,pgk
SW108,amk
The Shed,dk246
G48,lk339
SW13,jl703
S106,rdl
S105,sl626
SW11,vl200
Unassigned,pfl
S122A,dl2
SW104,fl207
SW12,pbl2
G02,rl348
S109B,yl360
SW104,sjm88
SW104,mim
SW104,mm983
SW14,sm951
G02,jjm20
Unassigned,gm482
S115A,bgm4
S109A,mpsm
G43,hln7
S112,jrcn
S118,aoo
SW06,dao7
SW09,sao
SW12,gp208
SW12,mp612
SW15,cd472
S129A,tp343
G43,tp346
S109A,jjp31
SW104,cer28
Unassigned,ejcr
G01B,sr309
SW107,pjr
Unassigned,rnsr
SW104,ps564
Unassigned,ts495
SW08,js959
SW104,jks31
S115A,fs338
S116,jt307
SW109,sjt
SW12,tt340
S108,gewt
Unassigned,dat
S103,iau
G01B,kv
SW08,dw341
Unassigned,phw
G43,aw678
S122,mcw
Unassigned,secw2
G25,ccw5
SW12,daw29
SW12,wz84
Room,Login
M3-10,atna3
M3-10,la309
M3-30,svh22
M3-10,cd549
M3-10,ad727
M3-21,ef313
M3-33,yh
M3-10,amh58
M3-04a,rji4
M3-16,msj
M3-30,jgj
M3-32,akj22
M3-35,mk451
M3-10,gral2
M3-34,cl339
M3-04a,yl339
M3-04A,acm55
M3-10,xm39
M3-37,mm53
M3-04A,im572
M3-21,sm2163
M3-29,febo
M3-10,so358
M3-04a,kp356
M3-10,ldp7
M3-38,hp300
M3-31,pr254
M3-36,ds710
M3-15,fzw
M3-04A,lw476
Room,Login
S111,ba284
SW110,djb
SW10,mjb211
SW16,lb514
G44,hb5
S104,jec
S131,dwc8
SW106,jc2005
S129,oc
SW04,dfc
Unassigned,lmd36
S128B,td207
S101,saf
S121,vf200
S107,aaf
SW07,rg399
S128C,mg483
M3-33,yh
S120,jch27
Unassigned,trh
M3-16,msj
SW08,ifj4
S102,cgj
S117,rej
M3-32,akj22
SW05,rok
SW105,smk
